2015 Sediment MDLs,
,
Units,MDL(ng/g)
,
n-Octane,2.51
n-Nonane,6.00
n-Decane,6.72
n-Undecane,7.85
n-Dodecane,6.10
n-Tridecane,5.42
n-Tetradecane,6.31
n-Pentadecane,7.16
n-Hexadecane,7.00
n-Heptadecane,6.94
Pristane,7.20
n-Octadecane,8.55
Phytane,7.27
n-Nonadecane,8.28
n-Eicosane,7.68
n-Heneicosane,7.53
n-Docosane,7.70
n-Tricosane,8.06
n-Tetracosane,7.14
n-Pentacosane,15.90
n-Hexacosane,7.48
n-Heptacosane,7.70
n-Octacosane,8.11
n-Nonacosane,9.31
n-Triacontane,10.20
n-Hentriacontane,8.33
n-Dotriacontane,8.22
n-Tritriacontane,8.70
n-Tetratriacontane,8.42
n-Pentatriacontane,7.92
n-Hexatriacontane,8.03
n-Heptatriacontane,7.58
n-Octatriacontane,7.91
n-Nonatriacontane,8.22
n-Tetracontane,7.65
