"Omega1","Omega2","Epsilon1","Epsilon2","status","max_grad","rrmse","aic"
0,0,0,0,"confirm_gradient",5.84700471348448e-12,1.349,700.540183464171
1,0,0,0,"confirm_gradient",2.70743694130715e-09,0.591,701.445422996125
0,1,0,0,"confirm_gradient",3.7129410657144e-11,0.892,694.509415051542
1,1,0,0,NA,NA,NA,NA
0,0,1,0,"confirm_gradient",8.20016499147869e-09,0.545,701.750523238239
1,0,1,0,"confirm_gradient",2.93719359945044e-09,0.562,703.283808397483
0,1,1,0,NA,NA,NA,NA
1,1,1,0,"confirm_gradient",6.12576817325153e-08,0.562,707.283808396365
0,0,0,1,"confirm_gradient",1.39244777930259e-08,0.925,696.117974545857
1,0,0,1,"confirm_gradient",5.7143729748077e-09,0.759,699.672172523881
0,1,0,1,"confirm_gradient",5.54498058580322e-10,0.794,695.252176747239
1,1,0,1,NA,NA,NA,NA
0,0,1,1,"confirm_gradient",1.73723824214989e-09,0.804,699.809024878578
1,0,1,1,NA,NA,NA,NA
0,1,1,1,"confirm_gradient",5.8028204463767e-09,0.69,699.165317417936
1,1,1,1,"confirm_gradient",3.24320462352645e-06,0.67,701.081533416798
